IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,n,DateD,Week
2698591_1,2023-03-11 18:45:00,Fortuna Sittard,FC Twente,"H/D&M2,5",2.8140000000000005,0.5,0.355366027007818,1.4070000000000003,24.0,2023-03-11,2023W10
2662025_1,2023-03-11 16:00:00,Burnley,Wigan Athletic,LDEM,2.21,0.630718954248366,0.45248868778280543,1.3938888888888887,36.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,LDEMP,1.71,0.7916666666666667,0.5847953216374269,1.3537500000000002,24.0,2023-03-11,2023W10
2701880_1,2023-03-11 17:30:00,Sektzia Nes Tziona,Hapoel Hadera,H/A&LDEMP,2.3205,0.5833333333333333,0.43094160741219567,1.3536249999999999,24.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,"M2,5",1.78,0.75,0.5617977528089888,1.335,24.0,2023-03-11,2023W10
2701879_1,2023-03-11 16:30:00,Hapoel Jerusalem,Maccabi Raina,D/A,1.88,0.7083333333333333,0.5319148936170213,1.3316666666666666,24.0,2023-03-11,2023W10
2663667_1,2023-03-11 04:05:00,Puebla,Guadalajara,D/A&LDEM,2.1630000000000003,0.5908333333333333,0.46232085067036516,1.2779725000000002,50.0,2023-03-11,2023W10
2670502_1,2023-03-11 17:00:00,Galatasaray,Kasimpasa,"M3,5",1.67,0.7636363636363637,0.5988023952095809,1.2752727272727271,22.0,2023-03-11,2023W10
2663667_1,2023-03-11 04:05:00,Puebla,Guadalajara,LDEM,1.64,0.775,0.6097560975609756,1.2710000000000001,50.0,2023-03-11,2023W10
2701878_1,2023-03-11 14:00:00,Hapoel Haifa,Maccabi Tel-Aviv,H/D,2.02,0.625,0.49504950495049505,1.2625,24.0,2023-03-11,2023W10
2701880_1,2023-03-11 17:30:00,Sektzia Nes Tziona,Hapoel Hadera,LDEMP,1.87,0.6666666666666667,0.53475935828877,1.246666666666667,24.0,2023-03-11,2023W10
2634441_1,2023-03-11 15:30:00,Eintracht Frankfurt,Stuttgart,"H/D&P1,5",1.5225,0.8181818181818181,0.6568144499178982,1.2456818181818181,22.0,2023-03-11,2023W10
2662014_1,2023-03-11 16:00:00,Reading,Millwall,"H/D&P1,5",2.2680000000000002,0.5457516339869282,0.4409171075837742,1.237764705882353,34.0,2023-03-11,2023W10
2634441_1,2023-03-11 15:30:00,Eintracht Frankfurt,Stuttgart,"P2,5",1.69,0.7272727272727273,0.591715976331361,1.229090909090909,22.0,2023-03-11,2023W10
2663667_1,2023-03-11 04:05:00,Puebla,Guadalajara,"H/D&P1,5",2.0055,0.6108333333333333,0.4986287708800798,1.22502625,50.0,2023-03-11,2023W10
2662025_1,2023-03-11 16:00:00,Burnley,Wigan Athletic,H/D&LDEM,2.3729999999999998,0.5130718954248366,0.4214075010535188,1.217519607843137,36.0,2023-03-11,2023W10
2698591_1,2023-03-11 18:45:00,Fortuna Sittard,FC Twente,"H/D&M3,5",2.2470000000000003,0.5416666666666666,0.4450378282153982,1.2171250000000002,24.0,2023-03-11,2023W10
