IdGame,Date,Home,Away,Bet,Odd,MaProba,UnibetProba,DiffProba,DateD
2673430_1,2023-02-26 17:00:00,Besiktas,Alanyaspor,"H/D&P2,5",2.079,0.6499999999999999,0.481000481000481,0.16899951899951893,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"D/A&M3,5",2.0685000000000002,0.6499999999999999,0.48344210780759,0.1665578921924099,2023-02-26
2632150_1,2023-02-26 16:30:00,FC Lugano,FC Basel,"H/D&M2,5",2.5935,0.55,0.385579332947754,0.16442066705224606,2023-02-26
2634439_1,2023-02-26 15:30:00,Fribourg,Bayer Leverkusen,H,2.2785,0.6,0.4388852315119596,0.1611147684880404,2023-02-26
2634365_1,2023-02-26 14:30:00,Tottenham,Chelsea,H,2.541,0.55,0.39354584809130266,0.15645415190869738,2023-02-26
2662660_1,2023-02-26 13:30:00,Club Brugge,KAA Gent,"D/A&P1,5",2.016,0.6499999999999999,0.49603174603174605,0.15396825396825387,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"D/A&M2,5",2.4675000000000002,0.55,0.40526849037487334,0.1447315096251267,2023-02-26
2632192_1,2023-02-26 17:00:00,FC Salzburg,SV Ried,"H/A&M3,5",1.9110000000000003,0.6666666666666667,0.5232862375719518,0.14338042909471493,2023-02-26
2632093_1,2023-02-26 14:30:00,Wolfsberger,Rapid Vienna,A,2.1315,0.6111111111111112,0.46915317851278443,0.14195793259832673,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"D/A&P1,5",2.7825,0.5,0.35938903863432164,0.14061096136567836,2023-02-26
2632091_1,2023-02-26 14:30:00,SCR Altach,WSG Swarovski Tirol,"H/A&P2,5",1.9005,0.6666666666666666,0.5261773217574323,0.14048934490923437,2023-02-26
2673743_1,2023-02-26 14:15:00,FC Luzern,Grasshoppers,D/A,1.9530000000000003,0.65,0.5120327700972862,0.13796722990271382,2023-02-26
2673553_1,2023-02-26 12:15:00,Fortuna Sittard,Feyenoord Rotterdam,H/D,2.7510000000000003,0.5,0.3635041802980734,0.1364958197019266,2023-02-26
2634416_1,2023-02-26 13:00:00,Lorient,Auxerre,"H/A&P2,5",2.1,0.6,0.47619047619047616,0.12380952380952381,2023-02-26
2673568_1,2023-02-26 16:45:00,PSV Eindhoven,FC Twente,"H/D&M2,5",2.3415,0.55,0.42707666026051677,0.12292333973948327,2023-02-26
2648412_1,2023-02-26 16:15:00,Real Zaragoza,Burgos,"D/A&M2,5",2.079,0.6,0.481000481000481,0.118999518999519,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,D/A,1.8795000000000002,0.6499999999999999,0.5320563979781856,0.11794360202181431,2023-02-26
2634413_1,2023-02-26 17:05:00,Monaco,Nice,"D/A&P1,5",2.3100000000000005,0.55,0.4329004329004328,0.11709956709956726,2023-02-26
2634413_1,2023-02-26 17:05:00,Monaco,Nice,D/A,1.8690000000000002,0.65,0.5350454788657035,0.1149545211342965,2023-02-26
2632093_1,2023-02-26 14:30:00,Wolfsberger,Rapid Vienna,"D/A&P2,5",2.2680000000000002,0.5555555555555556,0.4409171075837742,0.11463844797178135,2023-02-26
2648406_1,2023-02-26 18:30:00,Las Palmas,Ponferradina,D/A,2.5935,0.5,0.385579332947754,0.11442066705224602,2023-02-26
2634416_1,2023-02-26 13:00:00,Lorient,Auxerre,"H/D&P2,5",2.5725000000000002,0.5,0.3887269193391642,0.1112730806608358,2023-02-26
2632091_1,2023-02-26 14:30:00,SCR Altach,WSG Swarovski Tirol,A,2.2365,0.5555555555555556,0.447127207690588,0.10842834786496758,2023-02-26
2649192_1,2023-02-26 12:30:00,Bologna,Inter Milan,"H/D&M4,5",2.0265,0.6,0.4934616333580064,0.10653836664199356,2023-02-26
2632150_1,2023-02-26 16:30:00,FC Lugano,FC Basel,"H/D&M3,5",2.016,0.6,0.49603174603174605,0.10396825396825393,2023-02-26
2668315_1,2023-02-26 16:30:00,Rio Ave,GD Chaves,"H/A&M2,5",2.52,0.5,0.3968253968253968,0.1031746031746032,2023-02-26
2673402_1,2023-02-26 14:30:00,Vitesse,Ajax Amsterdam,H/D,2.5095,0.5,0.3984857541342897,0.10151424586571028,2023-02-26
2634436_1,2023-02-26 15:00:00,Nantes,Rennes,"H/D&M3,5",2.0055,0.6,0.4986287708800798,0.10137122911992019,2023-02-26
2649208_1,2023-02-26 20:45:00,Milan AC,Atalanta,"H/A&M3,5",1.8165,0.6499999999999999,0.5505092210294522,0.0994907789705477,2023-02-26
2673430_1,2023-02-26 17:00:00,Besiktas,Alanyaspor,H,1.7115,0.6833333333333333,0.5842827928717499,0.09905054046158346,2023-02-26
2634416_1,2023-02-26 13:00:00,Lorient,Auxerre,H,2.2155,0.55,0.45136538027533285,0.0986346197246672,2023-02-26
2652902_1,2023-02-26 19:30:00,FC Arges,FCSB,H/D,2.205,0.55,0.4535147392290249,0.09648526077097513,2023-02-26
2632091_1,2023-02-26 14:30:00,SCR Altach,WSG Swarovski Tirol,"D/A&P2,5",2.4675000000000002,0.5,0.40526849037487334,0.09473150962512666,2023-02-26
2634417_1,2023-02-26 15:00:00,Reims,Toulouse,H,2.1734999999999998,0.55,0.4600874166091558,0.08991258339084424,2023-02-26
2648412_1,2023-02-26 16:15:00,Real Zaragoza,Burgos,"D/A&M3,5",1.785,0.6499999999999999,0.5602240896358543,0.08977591036414556,2023-02-26
2648415_1,2023-02-26 16:15:00,Levante,Lugo,"H/A&M2,5",2.1630000000000003,0.55,0.46232085067036516,0.08767914932963489,2023-02-26
2648403_1,2023-02-26 21:00:00,Seville,Osasuna,"D/A&M4,5",1.7745,0.6499999999999999,0.5635390250774867,0.08646097492251326,2023-02-26
