Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2023-08-06,Paris FC,2 - 1,US Quevilly,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-31,Paris FC,0 - 1,Pau,0,1,1,Away,0,0,1,1,0,1,0,1
2023-01-10,Paris FC,2 - 1,Dijon FCO,2,1,3,Home,0,1,0,0,1,1,1,0
2022-12-30,Paris FC,0 - 0,Le Havre AC,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-11-12,Paris FC,1 - 4,Metz,1,4,5,Away,0,0,1,1,0,1,1,0
2022-10-22,Paris FC,0 - 0,Stade Laval,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-10-08,Paris FC,0 - 1,Valenciennes,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-17,Paris FC,1 - 2,Rodez Aveyron,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-03,Paris FC,1 - 3,Bordeaux,1,3,4,Away,0,0,1,1,0,1,1,0
2023-08-30,Niort,0 - 1,Valenciennes,0,1,1,Away,0,0,1,1,0,1,0,1
2023-08-20,Niort,2 - 1,Paris FC,2,1,3,Home,0,1,0,0,1,1,1,0
2023-08-06,Niort,1 - 4,Bastia,1,4,5,Away,0,0,1,1,0,1,1,0
2023-02-11,Niort,3 - 1,Bordeaux,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-31,Niort,1 - 3,SC Amiens,1,3,4,Away,0,0,1,1,0,1,1,0
2023-01-16,Niort,0 - 1,Saint-Etienne,0,1,1,Away,0,0,1,1,0,1,0,1
2022-12-30,Niort,2 - 1,Pau,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-12,Niort,1 - 1,Nimes,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-22,Niort,2 - 1,Dijon FCO,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-15,Niort,0 - 3,Grenoble,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-01,Niort,0 - 0,Guingamp,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-10,Niort,0 - 1,Le Havre AC,0,1,1,Away,0,0,1,1,0,1,0,1
2023-08-27,Nimes,1 - 0,Stade Laval,1,0,1,Home,0,1,0,0,1,1,0,1
2023-08-13,Nimes,1 - 0,Rodez Aveyron,1,0,1,Home,0,1,0,0,1,1,0,1
2023-07-30,Nimes,0 - 1,Caen,0,1,1,Away,0,0,1,1,0,1,0,1
2023-02-20,Nimes,1 - 2,Saint-Etienne,1,2,3,Away,0,0,1,1,0,1,1,0
2023-02-03,Nimes,0 - 2,Grenoble,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-28,Nimes,3 - 2,Niort,3,2,5,Home,0,1,0,0,1,1,1,0
2023-01-10,Nimes,1 - 4,Metz,1,4,5,Away,0,0,1,1,0,1,1,0
2022-12-26,Nimes,1 - 2,Guingamp,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-05,Nimes,1 - 0,Bordeaux,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-15,Nimes,2 - 0,SC Amiens,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-01,Nimes,0 - 1,Paris FC,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-10,Nimes,0 - 0,Bastia,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-08-28,Nice,0 - 3,Marseille,0,3,3,Away,0,0,1,1,0,1,0,1
2023-08-14,Nice,1 - 1,Strasbourg,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-18,Nice,0 - 0,Stade de Reims,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-02-10,Nice,3 - 0,AC Ajaccio,3,0,3,Home,0,1,0,0,1,1,0,1
2023-01-29,Nice,1 - 0,Lille,1,0,1,Home,0,1,0,0,1,1,0,1
2023-01-11,Nice,6 - 1,Montpellier,6,1,7,Home,0,1,0,0,1,1,1,0
2022-12-29,Nice,0 - 0,Lens,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-11-06,Nice,1 - 0,Brest,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-23,Nice,1 - 1,Nantes,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-09,Nice,3 - 2,Troyes,3,2,5,Home,0,1,0,0,1,1,1,0
2022-09-18,Nice,0 - 1,Angers,0,1,1,Away,0,0,1,1,0,1,0,1
2022-09-04,Nice,0 - 1,AS Monaco,0,1,1,Away,0,0,1,1,0,1,0,1
2023-08-28,Nantes,3 - 1,Toulouse,3,1,4,Home,0,1,0,0,1,1,1,0
2023-08-12,Nantes,1 - 1,Lille,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-12,Nantes,1 - 0,Lorient,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-01,Nantes,0 - 2,Marseille,0,2,2,Away,0,0,1,1,0,1,0,1
2023-01-11,Nantes,0 - 0,Lyon,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-01-01,Nantes,1 - 0,AJ Auxerre,1,0,1,Home,0,1,0,0,1,1,0,1
2022-11-13,Nantes,2 - 2,AC Ajaccio,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-30,Nantes,1 - 1,Clermont Foot,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-16,Nantes,4 - 1,Brest,4,1,5,Home,0,1,0,0,1,1,1,0
2022-09-18,Nantes,0 - 0,Lens,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-03,Nantes,0 - 3,Paris Saint-Germain ,0,3,3,Away,0,0,1,1,0,1,0,1
2023-08-31,Montpellier,2 - 0,AC Ajaccio,2,0,2,Home,0,1,0,0,1,1,0,1
2023-08-21,Montpellier,1 - 2,AJ Auxerre,1,2,3,Away,0,0,1,1,0,1,1,0
2023-08-07,Montpellier,3 - 2,Troyes,3,2,5,Home,0,1,0,0,1,1,1,0
2023-02-12,Montpellier,3 - 0,Brest,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-01,Montpellier,1 - 3,Paris Saint-Germain ,1,3,4,Away,0,0,1,1,0,1,1,0
2023-01-15,Montpellier,0 - 3,Nantes,0,3,3,Away,0,0,1,1,0,1,0,1
2023-01-02,Montpellier,1 - 2,Marseille,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-13,Montpellier,1 - 1,Stade de Reims,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-22,Montpellier,1 - 2,Lyon,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-09,Montpellier,0 - 2,AS Monaco,0,2,2,Away,0,0,1,1,0,1,0,1
2022-09-17,Montpellier,2 - 1,Strasbourg,2,1,3,Home,0,1,0,0,1,1,1,0
2022-09-04,Montpellier,1 - 3,Lille,1,3,4,Away,0,0,1,1,0,1,1,0
2023-08-27,Metz,1 - 2,Dijon FCO,1,2,3,Away,0,0,1,1,0,1,1,0
2023-08-13,Metz,2 - 0,Valenciennes,2,0,2,Home,0,1,0,0,1,1,0,1
2023-07-30,Metz,3 - 0,SC Amiens,3,0,3,Home,0,1,0,0,1,1,0,1
2023-02-13,Metz,0 - 0,Caen,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-01-31,Metz,1 - 1,Rodez Aveyron,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-13,Metz,2 - 0,US Quevilly,2,0,2,Home,0,1,0,0,1,1,0,1
2022-12-26,Metz,0 - 0,Niort,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-11-07,Metz,3 - 2,Saint-Etienne,3,2,5,Home,0,1,0,0,1,1,1,0
2022-10-15,Metz,0 - 0,Sochaux,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-10-01,Metz,1 - 0,Pau,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-12,Metz,3 - 6,Guingamp,3,6,9,Away,0,0,1,1,0,1,1,0
2022-09-02,Metz,0 - 0,Annecy,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-08-31,Marseille,1 - 0,Clermont Foot,1,0,1,Home,0,1,0,0,1,1,0,1
2023-08-20,Marseille,2 - 1,Nantes,2,1,3,Home,0,1,0,0,1,1,1,0
2023-08-07,Marseille,4 - 1,Stade de Reims,4,1,5,Home,0,1,0,0,1,1,1,0
2023-02-05,Marseille,1 - 3,Nice,1,3,4,Away,0,0,1,1,0,1,1,0
2023-01-28,Marseille,1 - 1,AS Monaco,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-14,Marseille,3 - 1,Lorient,3,1,4,Home,0,1,0,0,1,1,1,0
2022-12-29,Marseille,6 - 1,Toulouse,6,1,7,Home,0,1,0,0,1,1,1,0
2022-11-06,Marseille,1 - 0,Lyon,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-22,Marseille,0 - 1,Lens,0,1,1,Away,0,0,1,1,0,1,0,1
2022-10-08,Marseille,1 - 2,AC Ajaccio,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-18,Marseille,1 - 1,Stade Rennais,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-10,Marseille,2 - 1,Lille,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-11,Mainz,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-28,Mainz,5 - 2,VfL Bochum,5,2,7,Home,0,1,0,0,1,1,1,0
2023-01-25,Mainz,1 - 2,Borussia Dortmund,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-13,Mainz,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-05,Mainz,0 - 3,VfL Wolfsburg,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-21,Mainz,5 - 0,FC Cologne,5,0,5,Home,0,1,0,0,1,1,0,1
2022-10-08,Mainz,1 - 1,RB Leipzig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-16,Mainz,1 - 1,Hertha Berlin,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-08-27,Mainz,0 - 3,Bayer Leverkusen,0,3,3,Away,0,0,1,1,0,1,0,1
2022-08-14,Mainz,0 - 0,1. FC Union Berlin,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-08-31,Lyon,2 - 1,AJ Auxerre,2,1,3,Home,0,1,0,0,1,1,1,0
2023-08-19,Lyon,4 - 1,Troyes,4,1,5,Home,0,1,0,0,1,1,1,0
2023-08-05,Lyon,2 - 1,AC Ajaccio,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-12,Lyon,2 - 1,Lens,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-01,Lyon,0 - 0,Brest,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-01-14,Lyon,1 - 2,Strasbourg,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-01,Lyon,0 - 1,Clermont Foot,0,1,1,Away,0,0,1,1,0,1,0,1
